COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,BALLOTS CAST - REPUBLICAN,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Attorney General,Republican for Attorney General,Republican for State Senate District 16,Republican for State Senate District 16,Republican for State House District 61,Republican for State House District 61,Republican for State House District 66,Republican for State House District 66,Republican for State House District 56,Republican for State House District 56,Republican for State House District 48,Republican for State House District 48,Republican for County Recorder,Republican for County Recorder,Republican for County Commission Seat C,Republican for County Commission Seat C,Republican for State School Board District 13,Republican for State School Board District 13,
,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,
,,,BALLOTS CAST,BURGESS OWENS,KIM COLEMAN,TRENT CHRISTENSEN,"JAY ""JAYMAC"" MCFARLAND","THOMAS E. WRIGHT, ROB BISHOP","SPENCER J. COX, DEIDRE M. HENDERSON","JON HUNTSMAN JR., MICHELLE KAUFUSI","GREG HUGHES, VICTOR IVERSON",SEAN D. REYES,DAVID O. LEAVITT,CURT BRAMBLE,SYLVIA ANDREW,MARSHA JUDKINS,KENNETH GROVER,JEFFERSON S. BURTON,KARI L. MALKOVICH,MERRILEE BOYACK,KAY J. CHRISTOFFERSON,DAVID R. SHALLENBERGER,KEVEN J. STRATTON,ANDREA ALLEN,BRIAN VOEKS,TOM SAKIEVICH,R NATHAN IVIE,ALYSON WILLIAMS,RANDY BOOTHE,
25,0001,AF01,828,0,0,0,0,70,365,241,148,425,383,0,0,0,0,0,0,0,0,0,0,443,331,445,330,0,0,
25,0002,AF01S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0003,AF02,281,0,0,0,0,19,112,90,60,149,126,0,0,0,0,0,0,139,133,0,0,137,119,147,109,0,0,
25,0004,AF03,472,0,0,0,0,25,236,120,90,237,215,0,0,0,0,0,0,217,241,0,0,242,196,273,172,0,0,
25,0005,AF04,359,0,0,0,0,32,139,102,82,192,155,0,0,0,0,0,0,136,208,0,0,184,150,186,148,0,0,
25,0006,AF05,389,0,0,0,0,20,181,112,73,227,158,0,0,0,0,0,0,167,216,0,0,220,146,207,156,0,0,
25,0007,AF06,606,0,0,0,0,35,284,146,138,350,228,0,0,0,0,0,0,281,296,0,0,303,256,339,214,0,0,
25,0008,AF06S,106,0,0,0,0,1,45,17,43,51,49,0,0,0,0,0,0,56,48,0,0,54,41,81,16,0,0,
25,0009,AF07,644,0,0,0,0,40,308,179,111,356,277,0,0,0,0,0,0,250,379,0,0,335,280,363,250,0,0,
25,0010,AF08,601,0,0,0,0,25,272,170,131,333,246,0,0,0,0,0,0,275,304,0,0,304,255,321,232,0,0,
25,0011,AF09,439,0,0,0,0,39,208,119,70,194,223,0,0,0,0,0,0,172,250,0,0,213,179,185,203,0,0,
25,0012,AF10,688,0,0,0,0,38,329,209,103,381,282,0,0,0,0,0,0,0,0,0,0,353,254,359,254,0,0,
25,0013,AF10S,56,0,0,0,0,3,26,19,8,29,25,0,0,0,0,0,0,0,0,0,0,28,22,20,29,0,0,
25,0014,AF11,347,0,0,0,0,28,161,91,67,188,149,0,0,0,0,0,0,153,181,0,0,172,150,192,130,0,0,
25,0015,AF12,342,0,0,0,0,28,128,110,74,159,177,0,0,0,0,0,0,167,164,0,0,171,147,196,124,0,0,
25,0016,AF13,336,121,112,34,60,31,125,93,86,168,168,0,0,0,0,0,0,194,135,0,0,149,176,223,105,0,0,
25,0017,AF14,30,13,7,4,6,4,10,7,9,18,12,0,0,0,0,0,0,0,0,0,0,19,11,15,15,0,0,
25,0018,AL01,487,0,0,0,0,20,194,173,99,224,249,0,0,0,0,0,0,0,0,0,0,234,208,252,187,0,0,
25,0019,AL02,548,0,0,0,0,27,226,186,104,292,242,0,0,0,0,0,0,0,0,0,0,269,225,329,171,0,0,
25,0020,AL03,606,0,0,0,0,31,249,195,127,283,288,0,0,0,0,0,0,0,0,0,0,271,255,348,181,0,0,
25,0021,AL04,565,0,0,0,0,22,276,166,100,283,266,0,0,0,0,0,0,0,0,0,0,259,252,309,200,0,0,
25,0022,AL05,452,0,0,0,0,11,217,116,107,188,243,0,0,0,0,0,0,0,0,0,0,198,211,284,133,0,0,
25,0023,AL06,482,0,0,0,0,29,197,146,109,250,220,0,0,0,0,0,0,0,0,0,0,202,241,263,184,0,0,
25,0024,CF01,90,44,20,6,15,11,36,24,17,50,40,0,0,0,0,0,0,0,0,0,0,71,19,57,31,0,0,
25,0025,CH01,340,0,0,0,0,11,164,79,84,191,139,0,0,0,0,0,0,0,0,0,0,176,130,186,127,0,0,
25,0026,CH02,530,0,0,0,0,20,307,100,100,313,200,0,0,0,0,0,0,0,0,0,0,290,192,249,235,0,0,
25,0027,CH03,454,0,0,0,0,22,193,129,110,232,196,0,0,0,0,0,0,0,0,0,0,213,197,262,149,0,0,
25,0028,CH04,550,0,0,0,0,29,271,158,91,299,227,0,0,0,0,0,0,0,0,0,0,261,232,282,212,0,0,
25,0029,CH05,523,0,0,0,0,32,238,156,95,306,198,0,0,0,0,0,0,0,0,0,0,270,202,281,195,0,0,
25,0030,DR01,468,0,0,0,0,13,162,199,94,246,195,0,0,0,0,0,0,0,0,0,0,241,166,248,153,0,0,
25,0031,EM01,507,221,112,41,110,40,168,151,143,305,179,0,0,0,0,0,0,0,0,0,0,267,199,335,135,0,0,
25,0032,EM02,556,226,141,51,116,53,203,144,152,308,238,0,0,0,0,0,0,0,0,0,0,268,254,340,178,0,0,
25,0033,EM03,589,265,124,49,139,64,197,170,158,340,235,0,0,0,0,0,0,0,0,0,0,289,263,373,170,0,0,
25,0034,EM04,434,166,129,44,82,35,151,105,143,242,180,0,0,0,0,0,0,0,0,0,0,209,203,294,111,0,0,
25,0035,EM05,443,200,115,36,71,34,152,144,109,257,167,0,0,0,0,0,0,0,0,0,0,235,176,292,118,0,0,
25,0036,EM06,577,223,144,68,112,50,227,152,144,314,244,0,0,0,0,0,0,0,0,0,0,285,238,362,165,0,0,
25,0037,EM07,578,272,131,59,86,39,181,149,205,344,211,0,0,0,0,0,0,0,0,0,0,282,238,315,207,0,0,
25,0038,EM08,655,260,154,77,142,48,224,199,179,381,258,0,0,0,0,0,0,0,0,0,0,293,322,405,199,0,0,
25,0039,EM09,68,25,17,7,19,12,18,15,22,30,37,0,0,0,0,0,0,0,0,0,0,31,35,44,20,0,0,
25,0040,ER01,667,0,0,0,0,46,331,128,162,351,284,0,0,0,0,0,0,0,0,0,0,329,279,352,253,0,0,
25,0041,ER01S,17,0,0,0,0,0,5,8,4,10,7,0,0,0,0,12,5,0,0,0,0,11,6,5,12,0,0,
25,0042,ER02,336,0,0,0,0,32,158,77,69,176,147,0,0,0,0,0,0,0,0,0,0,154,155,204,109,0,0,
25,0043,FF01,37,15,4,10,6,6,11,13,7,20,16,0,0,0,0,0,0,0,0,0,0,29,6,20,15,0,0,
25,0044,GE01,321,143,88,31,48,31,158,47,84,147,165,0,0,0,0,0,0,0,0,0,0,169,119,177,114,0,0,
25,0045,GO01,49,26,5,7,11,2,16,12,19,36,12,0,0,0,0,0,0,0,0,0,0,32,14,24,23,0,0,
25,0046,GO02,66,30,22,2,12,7,23,15,21,33,33,0,0,0,0,0,0,0,0,0,0,40,23,36,26,0,0,
25,0047,HI01,517,0,0,0,0,31,251,158,77,267,231,0,0,0,0,0,0,0,0,0,0,258,213,287,178,0,0,
25,0048,HI02,532,0,0,0,0,32,223,175,100,298,221,0,0,0,0,0,0,0,0,0,0,246,249,341,152,0,0,
25,0049,HI03,458,0,0,0,0,32,249,96,80,235,211,0,0,0,0,0,0,0,0,0,0,231,174,256,155,0,0,
25,0050,HI04,489,0,0,0,0,32,232,115,107,240,225,0,0,0,0,0,0,0,0,0,0,223,211,299,134,0,0,
25,0051,HI05,519,0,0,0,0,24,242,139,114,255,242,0,0,0,0,0,0,0,0,0,0,237,225,309,157,0,0,
25,0052,HI06,531,0,0,0,0,43,229,146,112,287,233,0,0,0,0,0,0,0,0,0,0,256,245,319,182,0,0,
25,0053,HI07,556,0,0,0,0,27,284,127,114,233,313,0,0,0,0,0,0,0,0,0,0,237,299,374,158,0,0,
25,0054,HI08,607,0,0,0,0,32,225,211,137,358,220,0,0,0,0,0,0,0,0,0,0,276,262,330,211,0,0,
25,0055,HI09,631,0,0,0,0,55,246,179,146,268,335,0,0,0,0,0,0,0,0,0,0,301,266,397,183,0,0,
25,0056,HI10,138,0,0,0,0,21,51,36,30,77,52,0,0,0,0,0,0,83,46,0,0,52,69,66,54,0,0,
25,0057,LE01,398,155,96,49,76,52,151,110,84,233,152,0,0,0,0,0,0,0,0,0,0,226,147,222,146,0,0,
25,0058,LE01S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0059,LE02,359,163,73,44,70,31,138,102,88,217,133,0,0,0,0,0,0,0,0,0,0,209,136,185,155,0,0,
25,0060,LE03,520,0,0,0,0,39,233,158,86,280,227,0,0,0,0,0,0,112,402,0,0,271,207,269,209,0,0,
25,0061,LE04,475,198,98,39,114,24,225,143,81,265,188,0,0,0,0,0,0,0,0,0,0,246,189,263,168,0,0,
25,0062,LE05,461,220,90,31,105,27,190,114,129,244,204,0,0,0,0,0,0,0,0,0,0,210,217,289,136,0,0,
25,0063,LE06,655,0,0,0,0,50,263,198,138,378,257,0,0,0,0,0,0,152,488,0,0,337,274,355,253,0,0,
25,0064,LE06S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0065,LE07,378,0,0,0,0,13,134,112,118,188,176,0,0,0,0,0,0,179,190,0,0,175,172,203,136,0,0,
25,0066,LE08,639,243,139,82,149,54,290,175,118,342,279,0,0,0,0,0,0,0,0,0,0,303,289,354,238,0,0,
25,0067,LE09,404,0,0,0,0,42,175,120,65,217,171,0,0,0,0,0,0,135,261,0,0,194,176,218,145,0,0,
25,0068,LE10,910,0,0,0,0,68,466,235,136,495,383,0,0,0,0,0,0,374,517,0,0,444,384,503,338,0,0,
25,0069,LE11,570,210,128,61,133,42,217,177,133,308,233,0,0,0,0,0,0,0,0,0,0,286,224,321,197,0,0,
25,0070,LE12,777,0,0,0,0,50,371,207,148,390,361,0,0,0,0,0,0,0,0,0,0,372,344,496,223,0,0,
25,0071,LE13,425,195,84,55,65,29,148,159,88,230,170,0,0,0,0,0,0,0,0,0,0,217,168,228,151,0,0,
25,0072,LE14,283,104,66,35,73,25,108,88,56,147,125,0,0,0,0,0,0,0,0,0,0,138,117,150,108,0,0,
25,0073,LE15,381,0,0,0,0,23,154,115,87,189,183,0,0,0,0,0,0,0,0,0,0,204,146,222,128,0,0,
25,0074,LE16,399,0,0,0,0,23,212,81,82,244,145,0,0,0,0,0,0,142,249,0,0,189,182,229,137,0,0,
25,0075,LE17,430,0,0,0,0,23,205,124,76,247,169,0,0,0,0,0,0,148,276,0,0,222,165,256,133,0,0,
25,0076,LE18,303,0,0,0,0,21,122,98,60,172,122,0,0,0,0,0,0,0,0,0,0,152,119,158,113,0,0,
25,0077,LE19,707,298,154,65,140,48,303,205,149,385,289,0,0,0,0,0,0,0,0,0,0,303,326,408,219,0,0,
25,0078,LE20,336,0,0,0,0,16,119,139,60,161,154,0,0,0,0,0,0,0,0,0,0,176,124,197,106,0,0,
25,0079,LE21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,0080,LE22,308,124,75,33,72,19,125,88,74,180,117,0,0,0,0,0,0,0,0,0,0,159,125,180,106,0,0,
25,0081,LE23,382,146,76,41,103,28,161,108,82,199,174,0,0,0,0,0,0,0,0,0,0,199,152,230,118,0,0,
25,0082,LE24,409,213,74,47,62,28,154,161,65,219,184,0,0,0,0,0,0,0,0,0,0,225,162,211,171,0,0,
25,0083,LE25,390,0,0,0,0,13,151,151,72,190,184,0,0,0,0,0,0,0,0,0,0,176,174,200,138,0,0,
25,0084,LE26,558,229,110,65,114,25,246,180,104,332,202,0,0,0,0,0,0,0,0,0,0,285,224,313,187,0,0,
25,0085,LI01,864,0,0,0,0,64,375,223,192,494,344,0,0,0,0,0,0,0,0,0,0,467,316,481,309,0,0,
25,0086,LI02,304,0,0,0,0,20,159,75,47,164,133,0,0,0,0,0,0,0,0,0,0,174,107,155,130,0,0,
25,0087,LI03,304,0,0,0,0,12,148,89,53,145,147,0,0,0,0,0,0,0,0,155,139,184,101,163,119,0,0,
25,0088,LI04,553,0,0,0,0,18,317,147,68,274,255,0,0,0,0,0,0,0,0,251,276,294,206,306,186,0,0,
25,0089,LI05,553,0,0,0,0,38,257,128,126,320,220,0,0,0,0,0,0,0,0,0,0,286,222,329,172,0,0,
25,0090,LI06,471,0,0,0,0,35,232,133,67,259,199,0,0,0,0,0,0,0,0,222,227,266,164,258,166,0,0,
25,0091,MA01,542,0,0,0,0,30,293,138,78,281,244,0,0,0,0,0,0,0,0,0,0,307,190,312,183,254,248,
25,0092,MA02,711,0,0,0,0,42,333,176,156,325,352,0,0,0,0,0,0,0,0,0,0,380,261,373,269,283,368,
25,0093,MA03,657,0,0,0,0,36,296,157,163,334,309,0,0,0,0,0,0,0,0,0,0,366,240,396,213,258,359,
25,0094,MA04,532,0,0,0,0,55,216,153,100,271,242,0,0,0,0,0,0,0,0,0,0,268,208,328,152,214,265,
25,0095,MA05,436,0,0,0,0,28,188,101,117,237,184,0,0,0,0,0,0,0,0,0,0,218,165,278,111,194,195,
25,0096,MA06,46,0,0,0,0,0,21,13,10,24,19,0,0,0,0,0,0,0,0,0,0,23,19,26,15,16,26,
25,0097,OR01,425,0,0,0,0,26,194,122,80,213,202,0,0,0,0,0,0,0,0,0,0,222,176,244,149,0,0,
25,0098,OR02,183,0,0,0,0,6,93,43,40,98,82,0,0,0,0,0,0,0,0,0,0,111,66,110,67,0,0,
25,0099,OR03,460,0,0,0,0,28,244,112,70,266,183,0,0,0,0,0,0,0,0,201,252,250,173,256,169,0,0,
25,0100,OR04,284,0,0,0,0,31,102,93,57,130,142,0,0,0,0,0,0,0,0,0,0,152,122,158,115,0,0,
25,0101,OR05,636,0,0,0,0,39,305,170,120,292,331,320,298,0,0,0,0,0,0,0,0,330,267,365,225,0,0,
25,0102,OR06,339,0,0,0,0,22,160,109,47,159,175,0,0,0,0,0,0,0,0,0,0,183,138,206,121,0,0,
25,0103,OR07,455,0,0,0,0,28,256,101,67,168,274,227,199,0,0,0,0,0,0,0,0,221,181,255,148,0,0,
25,0104,OR08,246,0,0,0,0,26,74,92,50,91,149,0,0,0,0,0,0,0,0,0,0,94,138,135,100,0,0,
25,0105,OR09,197,0,0,0,0,22,81,67,27,104,85,97,95,0,0,0,0,0,0,0,0,81,97,117,65,94,86,
25,0106,OR10,248,0,0,0,0,27,129,63,28,123,121,0,0,0,0,0,0,0,0,0,0,123,108,167,74,0,0,
25,0107,OR11,513,0,0,0,0,26,226,140,120,258,235,0,0,329,175,0,0,0,0,0,0,247,220,312,155,245,224,
25,0108,OR12,139,0,0,0,0,14,42,39,41,76,57,0,0,80,55,0,0,0,0,0,0,66,63,75,57,0,0,
25,0109,OR13,252,0,0,0,0,20,94,97,38,126,118,0,0,179,66,0,0,0,0,0,0,117,120,146,87,0,0,
25,0110,OR14,111,0,0,0,0,15,38,33,23,60,46,0,0,0,0,0,0,0,0,0,0,55,50,70,33,0,0,
25,0111,OR15,302,0,0,0,0,32,122,93,52,149,142,0,0,0,0,0,0,0,0,0,0,158,118,149,129,0,0,
25,0112,OR16,299,0,0,0,0,16,166,72,44,161,135,0,0,0,0,0,0,0,0,0,0,168,117,195,93,0,0,
25,0113,OR17,324,0,0,0,0,41,136,101,44,151,158,0,0,0,0,0,0,0,0,0,0,188,120,168,141,0,0,
25,0114,OR18,228,0,0,0,0,20,92,76,38,102,120,0,0,0,0,0,0,0,0,0,0,129,82,123,90,0,0,
25,0115,OR19,369,0,0,0,0,30,185,97,54,194,169,230,128,0,0,0,0,0,0,173,192,178,161,211,131,0,0,
25,0116,OR20,409,0,0,0,0,21,196,138,53,219,171,0,0,0,0,0,0,0,0,0,0,232,149,195,187,0,0,
25,0117,OR21,354,0,0,0,0,40,142,90,79,193,152,0,0,0,0,0,0,0,0,0,0,186,149,214,124,0,0,
25,0118,OR22,505,0,0,0,0,33,220,150,96,271,221,0,0,0,0,0,0,0,0,0,0,283,190,280,202,0,0,
25,0119,OR23,462,0,0,0,0,24,255,116,65,244,207,0,0,0,0,0,0,0,0,0,0,244,195,262,177,0,0,
25,0120,OR24,488,0,0,0,0,35,221,158,68,256,218,0,0,0,0,0,0,0,0,100,382,257,196,271,179,0,0,
25,0121,OR25,282,0,0,0,0,32,131,77,40,126,152,0,0,0,0,0,0,0,0,0,0,149,112,150,112,0,0,
25,0122,OR26,283,0,0,0,0,24,132,73,53,155,121,0,0,0,0,0,0,0,0,0,0,174,95,165,109,0,0,
25,0123,OR27,368,0,0,0,0,23,180,103,60,211,153,0,0,0,0,0,0,0,0,0,0,176,173,214,133,0,0,
25,0124,OR28,359,0,0,0,0,39,143,113,60,184,167,0,0,0,0,0,0,0,0,0,0,160,181,199,141,0,0,
25,0125,OR29,528,0,0,0,0,34,282,132,79,270,237,0,0,0,0,0,0,0,0,0,0,301,182,294,191,0,0,
25,0126,OR30,457,0,0,0,0,24,197,153,80,207,230,228,208,0,0,0,0,0,0,242,209,262,149,201,202,0,0,
25,0127,OR31,390,0,0,0,0,33,180,122,53,175,205,213,166,0,0,0,0,0,0,0,0,204,167,194,177,0,0,
25,0128,OR32,363,0,0,0,0,33,168,110,50,206,151,175,178,0,0,0,0,0,0,160,194,204,136,193,148,0,0,
25,0129,OR33,19,0,0,0,0,0,12,5,2,14,4,9,8,0,0,0,0,0,0,9,10,9,6,10,6,9,6,
25,0130,OR34,206,0,0,0,0,11,86,71,33,104,96,0,0,0,0,0,0,0,0,0,0,93,92,122,68,0,0,
25,0131,OR35,291,0,0,0,0,35,103,100,52,136,148,0,0,0,0,0,0,0,0,0,0,143,119,156,114,0,0,
25,0132,OR36,350,0,0,0,0,16,179,106,47,203,140,0,0,0,0,0,0,0,0,130,208,215,112,180,149,0,0,
25,0133,OR37,265,0,0,0,0,21,126,85,31,144,114,0,0,161,90,0,0,0,0,0,0,139,101,145,100,122,122,
25,0134,OR38,368,0,0,0,0,27,156,117,65,191,159,0,0,0,0,0,0,0,0,0,0,205,138,190,149,0,0,
25,0135,OR39,171,0,0,0,0,7,93,36,35,99,66,0,0,0,0,0,0,0,0,0,0,96,65,91,73,0,0,
25,0136,OR40,307,0,0,0,0,28,124,101,53,192,111,0,0,0,0,0,0,0,0,0,0,159,125,175,109,0,0,
25,0137,OR41,280,0,0,0,0,19,129,78,53,164,107,0,0,0,0,0,0,0,0,0,0,155,112,174,96,0,0,
25,0138,OR42,221,0,0,0,0,9,97,76,39,120,90,0,0,0,0,0,0,0,0,0,0,115,91,131,76,0,0,
