,,,STATISTICS,,,,STRAIGHT PARTY,,,,,,,U.S SENATE,,,,,U.S REPRESENTATIVE DISTRICT #3,,,,STATE REPRESENTATIVE DISTRICT #69,,,,STATE BOARD OF EDUCATION DISTRICT #14,GRAND COUNTY COUNCIL AT-LARGE,,GRAND COUNTY COUNCIL,,GRAND COUNTY ATTORNEY,,GRAND COUNTY CLERK/AUDITOR,GRAND COUNTY SHERIFF,GRAND COUNTY SURVEYOR,GRAND CO SCHOOL BOARD,,,RETAIN SUPREME CRT JUSTICE Himonas,,RETAIN APPEALS CRT JUSTICE Toomey,,Constitutional Amendment A,,Constitutional Amendment B,,Constitutional Amendment C,,Nonbinding Opinion Question #1,,Proposition #2,,Proposition #3,,Proposition #4,,Proposition #9,
COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,Registered Voters,Ballots Cast,Ballots Cast - Blank,Voter Turnout,CONSTITUTION,UNITED UTAH PARTY,LIBERTARIAN,REPUBLICAN,GREEN,DEMOCRATIC,INDEPENDENT AMERICAN,TIM AALDERS (CON),CRAIG R. BOWDEN (LIB),REED C. MCCANDLESS (IAP),JENNY WILSON (DEM),MITT ROMNEY (REP),JOHN CURTIS (REP),JAMES COURAGE SINGER (DEM),TIMOTHY L. ZEIDNER (UUP),GREGORY C. DUERDEN (IAP),CHRISTINE F. WATKINS (REP),TIM GLENN (DEM),CARL R. ALBRECHT (REP),ROBERT GREENBERG (DEM),MARK A. HUNTSMAN,MARY MULLEN MCGANN,NORM KNAPP,TERRY MORSE,JAYLYN HAWKS,CHRISTINA SLOAN,STEPHEN J. STOCKS,CHRIS BAIRD,STEVEN WHITE,LUCAS BLAKE,BRITNIE ELLIS,RYAN ANDERSON,KATHERINE WILLIAMS,YES,NO,YES,NO,FOR,AGAINST,FOR,AGAINST,FOR,AGAINST,FOR,AGAINST,FOR,AGAINST,FOR,AGAINST,FOR,AGAINST,FOR,AGAINST
10,1,Moab 1:70,360,320,0,88.89%,0,0,0,31,1,42,2,7,7,3,200,100,92,218,0,6,0,0,95,218,201,190,112,242,0,196,103,248,211,217,216,0,0,197,65,206,50,235,59,61,241,137,156,154,159,259,56,235,74,206,90,230,74
10,2,Moab 2:69,991,866,0,87.39%,1,0,4,126,2,98,13,14,29,4,404,397,408,414,8,14,397,436,0,0,558,424,403,0,0,471,344,603,652,579,0,291,501,513,145,532,129,625,183,160,657,472,328,320,525,635,219,529,315,474,350,579,260
10,3,Moab 2:70,20,18,0,90.00%,0,0,0,0,0,3,0,0,0,0,18,0,0,18,0,0,0,0,0,18,10,16,1,0,0,16,2,16,13,14,0,7,9,15,2,15,2,14,4,1,17,8,10,18,0,16,1,16,1,17,1,17,1
10,4,Moab 3:70,244,183,0,75.00%,0,0,2,29,1,20,8,0,4,2,81,95,95,82,2,3,0,0,97,84,129,76,103,0,0,87,87,145,148,133,0,0,0,129,28,131,20,129,43,43,129,102,61,58,121,139,37,120,57,102,68,119,56
10,5,Moab 4:69,1,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,Moab 4:70,707,609,0,86.14%,1,0,3,74,1,68,10,22,19,6,310,244,240,331,7,17,0,0,253,338,436,324,258,0,0,324,256,457,466,438,0,0,0,383,109,412,84,422,142,107,469,315,242,274,322,469,132,424,172,362,199,414,170
10,7,Moab 5:69,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Moab 5:70,574,509,0,88.68%,0,0,0,61,2,54,7,7,8,4,261,222,225,265,4,6,0,0,226,277,313,276,212,0,344,274,211,386,350,343,0,0,0,299,72,296,70,370,92,72,396,255,208,211,282,349,146,342,159,282,196,342,154
10,9,Thompson 6:69,31,28,0,90.32%,0,0,1,7,0,4,0,0,1,0,10,17,19,8,0,1,22,6,0,0,23,9,15,0,0,10,12,25,21,23,0,10,12,11,9,15,4,21,4,9,13,14,10,10,14,24,3,17,9,15,8,18,8
10,10,Thompson 6:70,1,1,0,100.00%,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
10,11,Green River 7:69,14,11,0,78.57%,0,0,0,4,0,0,0,0,0,1,2,8,8,1,1,0,10,1,0,0,9,7,3,0,0,7,3,10,10,10,0,2,8,11,0,10,1,10,1,4,7,9,2,3,8,3,8,5,5,5,6,4,6
10,12,Green River 7:70,6,6,0,100.00%,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,0,0,4,2,2,6,0,0,0,2,0,2,6,2,0,0,5,4,2,4,2,3,3,0,6,2,2,0,6,2,4,2,4,2,4,4,2
10,13,Castle Valley 8:69,305,257,0,84.26%,1,0,0,33,2,32,1,5,6,2,158,83,84,166,1,3,90,163,0,0,160,170,72,0,0,180,54,204,190,169,0,149,91,152,44,163,33,200,43,33,209,120,115,114,136,207,47,175,78,179,67,183,63
10,14,Moab 9:69,145,114,0,78.62%,0,1,0,25,0,10,3,3,0,9,41,59,64,40,3,3,68,43,0,0,88,39,71,84,0,43,67,92,97,89,93,0,0,71,26,73,21,88,22,22,87,61,45,40,71,89,22,76,36,66,41,78,33
10,15,Moab 9:70,531,436,0,82.11%,0,0,1,72,3,62,13,16,12,10,206,183,193,215,3,10,0,0,196,226,314,194,218,303,0,202,202,311,329,321,326,0,0,282,69,272,71,308,94,93,314,259,139,174,246,325,101,275,143,253,158,293,126
10,16,Moab 10:70,507,417,0,82.25%,0,3,1,47,0,43,11,6,11,6,195,196,196,203,4,7,0,0,190,215,308,205,195,0,0,199,191,323,331,314,0,0,0,266,68,283,57,315,80,101,302,212,172,163,246,287,123,247,160,236,161,269,136
10,17,Moab 11:69,573,463,0,80.80%,0,1,2,75,0,47,12,9,11,8,178,251,254,191,3,5,254,194,0,0,307,186,247,0,311,225,200,334,352,340,0,0,0,281,85,294,75,356,81,89,347,271,158,131,324,321,134,255,195,239,195,310,137
10,18,Moab 11:70,198,163,0,82.32%,0,0,1,25,1,22,7,7,2,4,71,76,79,76,1,5,0,0,82,80,127,75,80,0,126,69,86,132,139,135,0,0,0,109,29,116,26,127,32,43,114,98,56,46,116,130,31,93,67,83,74,104,53
10,,COUNTY TOTALS,5208,4401,0,84.50%,3,5,15,609,13,506,87,96,110,59,2138,1935,1961,2231,37,80,841,843,1143,1459,2986,2197,1990,629,781,2305,1818,3288,3316,3128,635,459,626,2723,753,2822,645,3224,883,838,3308,2336,1704,1716,2577,3256,1064,2812,1475,2521,1618,2964,1279